"Subnational unit (province, state)",2000,2005,2010,2015,2020
Anhui,0.0,0.0,0.0,0.0,120.0
Beijing,845.0,0.0,1970.0,5820.0,1492.0
Chongqing,0.0,0.0,0.0,940.0,0.0
Guangdong,250.0,2460.0,3186.0,3440.0,11997.52
Guangxi,0.0,0.0,0.0,120.0,285.0
Hebei,0.0,0.0,0.0,0.0,906.0
Henan,0.0,0.0,0.0,0.0,1800.0
Hubei,0.0,123.0,185.0,370.0,185.0
Jiangsu,0.0,1296.0,780.0,3782.0,7548.0
Ningxia,0.0,0.0,64.0,800.0,0.0
Shanghai,0.0,658.0,0.0,980.0,920.0
Shanxi,0.0,0.0,0.0,1720.0,144.0
Tianjin,0.0,0.0,0.0,1763.0,1950.0
Xinjiang,69.0,69.0,111.9,0.0,0.0
Zhejiang,0.0,0.0,152.5,7349.62,254.6
