Province,2000,2005,2010,2015
Anhui,889.0862553,889.0862553,889.0862553,889.0862553
Beijing,4154.178139,4154.178139,4154.178139,4154.178139
Chongqing,92.23581675,92.23581675,92.23581675,92.23581675
Fujian,114.7570245,114.7570245,114.7570245,114.7570245
Gansu,6189.684968,6189.684968,6189.684968,6189.684968
Guangdong,283.0799768,283.0799768,283.0799768,283.0799768
Guangxi,316.4154773,316.4154773,316.4154773,316.4154773
Guizhou,270.4365055,270.4365055,270.4365055,270.4365055
Hainan,52.70092282,52.70092282,52.70092282,52.70092282
Hebei,14464.89659,14464.89659,14464.89659,14464.89659
Heilongjiang,14824.13154,14824.13154,14824.13154,14824.13154
Henan,7729.40392,7729.40392,7729.40392,7729.40392
Hubei,353.828808,353.828808,353.828808,353.828808
Hunan,251.1125847,251.1125847,251.1125847,251.1125847
InnerMongolia,9524.017624,9524.017624,9524.017624,9524.017624
Jiangsu,201.4485061,201.4485061,201.4485061,201.4485061
Jiangxi,271.0591287,271.0591287,271.0591287,271.0591287
Jilin,9527.340224,9527.340224,9527.340224,9527.340224
Liaoning,17602.72647,17602.72647,17602.72647,17602.72647
Ningxia,1390.06422,1390.06422,1390.06422,1390.06422
Qinghai,1396.957769,1396.957769,1396.957769,1396.957769
Shaanxi,5069.617322,5069.617322,5069.617322,5069.617322
Shandong,15571.61019,15571.61019,15571.61019,15571.61019
Shanghai,23.65493014,23.65493014,23.65493014,23.65493014
Shanxi,9653.010933,9653.010933,9653.010933,9653.010933
Sichuan,705.4586967,705.4586967,705.4586967,705.4586967
Tianjin,3302.804769,3302.804769,3302.804769,3302.804769
Tibet,90.13937869,90.13937869,90.13937869,90.13937869
Xinjiang,8035.60824,8035.60824,8035.60824,8035.60824
Yunnan,334.3774052,334.3774052,334.3774052,334.3774052
Zhejiang,160.2370365,160.2370365,160.2370365,160.2370365
