"Subnational unit (province, state)",2005,2010,2015,2020
Heilongjiang,32.44,45.59,51.73,45.59
Jilin,64.41,90.52,102.7,90.52
Liaoning,63.94,89.86,101.96,89.86
InnerMongolia,15.51,21.8,24.74,21.8
Hebei,72.4,101.75,115.45,101.75
Tianjin,44.19,62.11,70.47,62.11
Beijing,66.76,93.82,106.45,93.82
Shandong,81.33,114.31,129.69,114.31
Shanxi,15.51,21.8,24.74,21.8
Henan,55.95,78.63,89.21,78.63
Shaanxi,12.22,17.18,19.49,17.18
Ningxia,12.69,17.84,20.24,17.84
Gansu,16.92,23.79,26.99,23.79
Qinghai,7.05,9.91,11.25,9.91
Xinjiang,5.17,7.27,8.25,7.27
Tibet,2.82,3.96,4.5,3.96
Jiangsu,251.05,352.83,400.32,352.83
Shanghai,31.5,44.27,50.23,44.27
Anhui,50.3,70.7,80.21,70.7
Hubei,77.57,109.02,123.7,109.02
Hunan,81.33,114.31,129.69,114.31
Zhejiang,87.91,123.56,140.19,123.56
Jiangxi,14.1,19.82,22.49,19.82
Fujian,5.17,7.27,8.25,7.27
Guangdong,16.92,23.79,26.99,23.79
Guangxi,9.87,13.88,15.74,13.88
Yunnan,4.23,5.95,6.75,5.95
Hainan,0,0,0,0
Sichuan,31.5,44.27,50.23,44.27
Chongqing,47.01,66.07,74.97,66.07
Guizhou,9.87,13.88,15.74,13.88
