Region,2010,2015,2020
Beijing,0,76,544
Tianjin,0,121,1519
Hebei,0,2219,19681
Shanxi,0,1115,11975
InnerMongolia,0,4705,7665
Liaoning,0,163,3837
Jilin,0,67,3313
Heilongjiang,0,21,3159
Shanghai,0,211,1159
Jiangsu,0,4224,12616
Zhejiang,0,1637,13533
Anhui,0,1208,12492
Fujian,0,129,1891
Jiangxi,0,435,7325
Shandong,0,1327,21393
Henan,0,408,11342
Hubei,0,480,6500
Hunan,0,169,3741
Guangdong,0,617,7353
Guangxi,0,122,1928
Hainan,0,159,1271
Chongqing,0,0,670
Sichuan,0,364,1546
Guizhou,0,30,10540
Yunnan,0,1174,2706
Tibet,0,170,1200
Shaanxi,0,720,10170
Gansu,0,6096,3724
Qinghai,0,5630,10380
Ningxia,0,3088,8882
Xinjiang,0,5287,7373
