Anhui,Jiangsu,10000
Anhui,Jiangxi,0
Anhui,Xinjiang,12000
Anhui,Zhejiang,9500
Beijing,Hebei,25000
Beijing,InnerMongolia,9000
Beijing,Shandong,9000
Beijing,Shanxi,3950
Beijing,Tianjin,3950
Chongqing,Guizhou,0
Chongqing,Hubei,10000
Chongqing,Hunan,0
Chongqing,Sichuan,6000
Fujian,Guangdong,0
Fujian,Zhejiang,4500
Gansu,Hunan,8000
Gansu,InnerMongolia,0
Gansu,Ningxia,7000
Gansu,Qinghai,4300
Gansu,Shaanxi,7000
Gansu,Xinjiang,3000
Guangdong,Guangxi,41690
Guangdong,Guizhou,17500
Guangdong,Hainan,1200
Guangdong,Hebei,3000
Guangdong,Yunnan,31400
Guangxi,Hunan,0
Guangxi,Yunnan,13120
Guizhou,Guangxi,0
Guizhou,Hunan,0
Hebei,Henan,0
Hebei,InnerMongolia,3950
Hebei,Liaoning,3000
Hebei,Shandong,6000
Hebei,Shanxi,25000
Hebei,Tianjin,25000
Heilongjiang,InnerMongolia,0
Heilongjiang,Jilin,3200
Henan,Anhui,0
Henan,Hubei,10000
Henan,Qinghai,8000
Henan,Shaanxi,7500
Henan,Shandong,0
Henan,Shanxi,5000
Henan,Xinjiang,8000
Hubei,Anhui,0
Hubei,Hunan,2600
Hubei,Jiangsu,3000
Hubei,Jiangxi,3000
Hubei,Shaanxi,8000
Hubei,Shanghai,6000
Hunan,Guangdong,0
Hunan,Jiangxi,0
InnerMongolia,Shandong,20000
InnerMongolia,Shanxi,3950
Jiangsu,InnerMongolia,8000
Jiangsu,Shanghai,10000
Jiangsu,Shanxi,8000
Jiangsu,Sichuan,15200
Jiangsu,Zhejiang,0
Jiangxi,Fujian,0
Jiangxi,Guangdong,0
Jiangxi,Sichuan,8000
Jilin,InnerMongolia,0
Jilin,Liaoning,5000
Liaoning,InnerMongolia,8000
Ningxia,InnerMongolia,0
Ningxia,Shandong,4000
Ningxia,Zhejiang,8000
Qinghai,Sichuan,0
Qinghai,Tibet,600
Qinghai,Xinjiang,0
Shaanxi,Chongqing,0
Shaanxi,InnerMongolia,0
Shaanxi,Ningxia,0
Shaanxi,Shanxi,4000
Shaanxi,Sichuan,3000
Shandong,Anhui,0
Shandong,Jiangsu,0
Shanghai,Sichuan,6400
Shanghai,Zhejiang,9500
Sichuan,Guizhou,0
Sichuan,Tibet,1000
Sichuan,Yunnan,0
Sichuan,Zhejiang,16000
Xinjiang,Tibet,0
Yunnan,Guizhou,0
Zhejiang,Jiangxi,0
