Region,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
National Total,136726,137646,138326,139232,140011,140541,141008,141212,141260,141175
Beijing,2125,2171,2188,2195,2194,2192,2190,2189,2189,2184
Tianjin,1410,1429,1439,1443,1410,1383,1385,1387,1373,1363
Hebei,7288,7323,7345,7375,7409,7426,7447,7464,7448,7420
Shanxi,3535,3528,3519,3514,3510,3502,3497,3490,3480,3481
Inner Mongolia,2455,2449,2440,2436,2433,2422,2415,2403,2400,2401
Liaoning,4365,4358,4338,4327,4312,4291,4277,4255,4229,4197
Jilin,2668,2642,2613,2567,2526,2484,2448,2399,2375,2348
Heilongjiang,3666,3608,3529,3463,3399,3327,3255,3171,3125,3099
Shanghai,2448,2467,2458,2467,2466,2475,2481,2488,2489,2475
Jiangsu,8192,8281,8315,8381,8423,8446,8469,8477,8505,8515
Zhejiang,5784,5890,5985,6072,6170,6273,6375,6468,6540,6577
Anhui,5988,5997,6011,6033,6057,6076,6092,6105,6113,6127
Fujian,3885,3945,3984,4016,4065,4104,4137,4161,4187,4188
Jiangxi,4476,4480,4485,4496,4511,4513,4516,4519,4517,4528
Shandong,9746,9808,9866,9973,10033,10077,10106,10165,10170,10163
Henan,9573,9645,9701,9778,9829,9864,9901,9941,9883,9872
Hubei,5798,5816,5850,5885,5904,5917,5927,5745,5830,5844
Hunan,6600,6611,6615,6625,6633,6635,6640,6645,6622,6604
Guangdong,11270,11489,11678,11908,12141,12348,12489,12624,12684,12657
Guangxi,4731,4770,4811,4857,4907,4947,4982,5019,5037,5047
Hainan,920,936,945,957,972,982,995,1012,1020,1027
Chongqing,3011,3043,3070,3110,3144,3163,3188,3209,3212,3213
Sichuan,8109,8139,8196,8251,8289,8321,8351,8371,8372,8374
Guizhou,3632,3677,3708,3758,3803,3822,3848,3858,3852,3856
Yunnan,4641,4653,4663,4677,4693,4703,4714,4722,4690,4693
Shaanxi,3804,3827,3846,3874,3904,3931,3944,3955,3954,3956
Gansu,2537,2531 ?,2523,2520,2522,2515,2509,2501,2490,2492
Qinghai,571,??? 576,577,582,586,587,590,593,594,595
Ningxia,666,??? 678,684,695,705,710,717,721,725,728
Xinjiang,2285,2325,2385,2428,2480,2520,2559,2590,2589,2587
